id,name,address,comment,created_at,latitude,longitude,sentiment
1,Equinox Brookfield Place,"225 Liberty St (at West St), New York, NY 10281",hot yoga point . clear view across hudson weight floor . perfect spot workout rainy day since 's connected oculus .,2019-12-31 17:12:40,40.711974,-74.016237,1
2,Equinox Brookfield Place,"225 Liberty St (at West St), New York, NY 10281","gym floor bit uninspiring , location great .",2019-12-17 14:00:01,40.711974,-74.016237,1
3,Equinox Brookfield Place,"225 Liberty St (at West St), New York, NY 10281",location low ceiling get crowded morning,2019-01-14 04:06:52,40.711974,-74.016237,-1
4,Equinox Brookfield Place,"225 Liberty St (at West St), New York, NY 10281",excellent ! class motivate well great equipment,2018-09-25 10:38:14,40.711974,-74.016237,1
5,Equinox Brookfield Place,"225 Liberty St (at West St), New York, NY 10281","great view nice lounge area , overall pretty small limited machine .",2018-07-10 22:41:19,40.711974,-74.016237,1
6,Asphalt Green,"212 N End Ave (Murray), New York, NY 10282","hidden gym basketball court , pool , weight room everything else need .",2017-03-21 03:00:56,40.711974,-74.016237,0
7,Asphalt Green,"212 N End Ave (Murray), New York, NY 10282","equipment seemed solid , came pool . said , 3-day trial . membership fee steep , 'm becoming triathlete time soon .",2015-09-05 21:08:31,40.711974,-74.016237,1
8,Asphalt Green,"212 N End Ave (Murray), New York, NY 10282",'s really expensive camp really annoying idk say 's strange expensive ..,2015-01-25 03:30:28,40.711974,-74.016237,-1
9,Asphalt Green,"212 N End Ave (Murray), New York, NY 10282",camp n't good ok mean overpriced,2015-01-25 03:18:23,40.711974,-74.016237,-1
10,Asphalt Green,"212 N End Ave (Murray), New York, NY 10282","really great gym option swim , family ( aka open court gym time like basketball ) , want le crowded place . whole , better cardio equipment lifting equipment .",2014-08-27 01:03:33,40.711974,-74.016237,1
11,Battery Park City Ballfields,"West St, New York, NY 10282",like stand people watch game turf good cleat grip onto nicely,2015-01-25 03:27:18,40.711974,-74.016237,1
12,Battery Park City Ballfields,"West St, New York, NY 10282",would love artificial grass ... real come ... lot different choice ...,2014-11-10 23:26:28,40.711974,-74.016237,1
13,Battery Park City Ballfields,"West St, New York, NY 10282","one best ballfields nyc . soccer , baseball , batting `` cage , '' frisbee , whatever want place enough open space age toddler adult !",2014-08-09 18:02:47,40.711974,-74.016237,1
14,Battery Park City Ballfields,"West St, New York, NY 10282",fun fact : entire field recyclable 's lived useful life .,2014-07-25 15:11:04,40.711974,-74.016237,1
15,Battery Park City Ballfields,"West St, New York, NY 10282",small cool view,2011-09-06 15:59:45,40.711974,-74.016237,1
16,American Express Fitness Center,"200 Vesey St, New York, NY 10285",check : http : //www.iherb.com/iherb-brands ? rcode=pvt821 big discount ! quality natural product : ) : ),2016-04-14 15:15:33,40.711974,-74.016237,1
17,American Express Fitness Center,"200 Vesey St, New York, NY 10285",place sell hammer nutrition product must building access .... n't .,2013-10-23 17:31:22,40.711974,-74.016237,0
18,American Express Fitness Center,"200 Vesey St, New York, NY 10285",15 min abs/back class quick potent supplement daily workout !,2013-06-11 17:33:19,40.711974,-74.016237,0
19,American Express Fitness Center,"200 Vesey St, New York, NY 10285",definitely come work instead morning avoid crowd guarantee access weight equipment ... 6:30 onwards 8:30 close seems sweet spot ...,2013-05-03 02:45:55,40.711974,-74.016237,1
